epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6520.58,1.01829,1.06885,1.19334,0.57087,0.61053,0.58334,0.37071,1.2913,1.35985,1.38656,0.000848969,0.000848969,0.000848969
43,6673.56,0.98755,1.04468,1.18332,0.62672,0.56786,0.61563,0.38784,1.30195,1.3021,1.34512,0.000834822,0.000834822,0.000834822
44,6827.08,0.96709,1.04071,1.17551,0.59376,0.62073,0.60431,0.36279,1.36566,1.43868,1.42328,0.000820675,0.000820675,0.000820675
45,6981.14,0.99941,1.03832,1.18971,0.53605,0.59519,0.56693,0.35596,1.31059,1.42587,1.36235,0.000806528,0.000806528,0.000806528
46,7135.69,0.9852,1.03196,1.16645,0.63101,0.63175,0.6161,0.39657,1.29016,1.29195,1.37155,0.00079238,0.00079238,0.00079238
47,7289.38,0.98298,1.02365,1.15264,0.59305,0.62042,0.6128,0.37574,1.30978,1.32216,1.35795,0.000778233,0.000778233,0.000778233
48,7444.04,0.96205,0.98715,1.16025,0.58833,0.62551,0.61247,0.38409,1.30831,1.33415,1.34487,0.000764086,0.000764086,0.000764086
49,7597.6,0.95447,0.97303,1.15811,0.64314,0.62803,0.63701,0.39587,1.31614,1.24342,1.41039,0.000749939,0.000749939,0.000749939
50,7751.79,0.96779,0.95714,1.15454,0.59758,0.60332,0.60149,0.38057,1.28391,1.34889,1.34352,0.000735792,0.000735792,0.000735792
51,7905.42,0.93393,0.94642,1.13995,0.6807,0.62982,0.66003,0.40247,1.3187,1.29055,1.36274,0.000721645,0.000721645,0.000721645
52,8059.89,0.93375,0.92523,1.13807,0.64229,0.602,0.62819,0.39984,1.26859,1.26778,1.32142,0.000707498,0.000707498,0.000707498
53,8214.29,0.94939,0.94801,1.1673,0.6201,0.64142,0.6322,0.39298,1.30879,1.23878,1.37562,0.000693351,0.000693351,0.000693351
54,8368.21,0.93019,0.91875,1.1286,0.66688,0.57099,0.61041,0.38304,1.28001,1.34621,1.36551,0.000679204,0.000679204,0.000679204
55,8522.7,0.91637,0.92881,1.11963,0.67452,0.61934,0.63655,0.40276,1.27681,1.26273,1.35203,0.000665057,0.000665057,0.000665057
56,8676.73,0.91656,0.89953,1.12824,0.63772,0.64539,0.65316,0.4244,1.26402,1.23495,1.34142,0.000650909,0.000650909,0.000650909
57,8830.83,0.93656,0.91653,1.14238,0.65099,0.62195,0.64778,0.40952,1.25249,1.27624,1.32323,0.000636762,0.000636762,0.000636762
58,8985.36,0.90713,0.88436,1.12348,0.68088,0.61178,0.64336,0.40415,1.28522,1.2787,1.35903,0.000622615,0.000622615,0.000622615
59,9139.73,0.92828,0.90216,1.13503,0.70656,0.6342,0.64915,0.40826,1.26027,1.23099,1.33644,0.000608468,0.000608468,0.000608468
60,9294.49,0.89989,0.88285,1.12009,0.70743,0.62388,0.64318,0.40577,1.25466,1.26298,1.33876,0.000594321,0.000594321,0.000594321
61,9448.48,0.88416,0.86537,1.10683,0.62567,0.66058,0.64301,0.40514,1.24609,1.29637,1.36941,0.000580174,0.000580174,0.000580174
62,9602.71,0.90907,0.89171,1.13559,0.65648,0.62304,0.65312,0.40821,1.27305,1.2795,1.35217,0.000566027,0.000566027,0.000566027
63,9757.03,0.88606,0.87048,1.10958,0.64764,0.63509,0.674,0.42323,1.27384,1.20924,1.33988,0.00055188,0.00055188,0.00055188
64,9911.63,0.87892,0.84749,1.11095,0.68119,0.62398,0.66431,0.42267,1.23475,1.22561,1.32445,0.000537733,0.000537733,0.000537733
65,10066,0.87808,0.8437,1.11177,0.68537,0.60435,0.64769,0.40552,1.26058,1.23534,1.35451,0.000523586,0.000523586,0.000523586
66,10220.2,0.86078,0.81627,1.10528,0.65386,0.63267,0.64828,0.40748,1.26079,1.28349,1.34037,0.000509438,0.000509438,0.000509438
67,10374.4,0.88576,0.83855,1.1154,0.65366,0.60744,0.64288,0.41265,1.27188,1.34589,1.35562,0.000495291,0.000495291,0.000495291
68,10527.1,0.84954,0.80029,1.08613,0.67053,0.6328,0.65696,0.41409,1.24093,1.26559,1.32591,0.000481144,0.000481144,0.000481144
69,10681.5,0.85993,0.7981,1.08667,0.68981,0.62635,0.65885,0.4209,1.24353,1.27954,1.32374,0.000466997,0.000466997,0.000466997
70,10835.7,0.84864,0.79654,1.09231,0.70368,0.61275,0.65784,0.42168,1.24274,1.223,1.32398,0.00045285,0.00045285,0.00045285
